Crash Number,Crash Date,Crash Time,City/Town,Crash Severity,Roadway,Near Intersection Roadway,Landmark,Police Agency
2949974,9/19/2011,7:40 AM,WORCESTER,Not Reported,UPLAND STREET / GREENWOOD STREET,,,Local police
2948130,8/23/2010,1:05 PM,WORCESTER,Not Reported,UPLAND GARDENS DRIVE,,,Local police
2955193,9/14/2011,3:41 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF Rte 20 E,,,Local police
3095531,2/17/2011,3:15 PM,WORCESTER,Non-fatal injury,GRAFTON STREET Rte 20 / Rte 20 W,,,Local police
3100475,2/12/2011,7:02 PM,WORCESTER,Property damage only (none injured),MILLBURY STREET / BLACKSTONE RIVER ROAD,,,Local police
3104483,2/24/2011,10:24 AM,WORCESTER,Non-fatal injury,MILLBURY STREET,,,Local police
3154017,10/7/2011,7:10 PM,WORCESTER,Property damage only (none injured),GRAFTON STREET / Rte 20 E,,,Local police
2913466,1/31/2010,9:03 PM,WORCESTER,Non-fatal injury,GREENWOOD STREET,,,Local police
2914271,12/21/2010,9:15 AM,WORCESTER,Non-fatal injury,UPLAND STREET / GREENWOOD STREET,,,Local police
3154689,11/27/2011,12:05 PM,WORCESTER,Property damage only (none injured),GRAFTON STREET,Rte 20,,Local police
3154862,11/5/2011,8:47 PM,WORCESTER,Unknown,UPLAND STREET,UPLAND GARDENS DRIVE,,Local police
3154990,11/10/2011,1:30 PM,WORCESTER,Non-fatal injury,SOUTHWEST CUTOFF,,,Local police
3155563,11/19/2011,12:00 PM,WORCESTER,Not Reported,UPLAND GARDENS DRIVE,,UPLAND STREET,Local police
3179988,12/27/2011,3:00 PM,WORCESTER,Non-fatal injury,GRANITE STREET,,,Local police
3181064,7/14/2011,8:56 AM,WORCESTER,Property damage only (none injured),MASSASOIT ROAD,,,Local police
2914263,12/21/2010,9:45 AM,WORCESTER,Non-fatal injury,UPLAND STREET,,,Local police
3107412,2/10/2011,3:08 PM,WORCESTER,Non-fatal injury,UPLAND GARDENS DRIVE,,,Local police
3148658,10/29/2011,11:19 PM,WORCESTER,Property damage only (none injured),GRAFTON STREET,,,Local police
3149234,10/21/2011,4:23 AM,WORCESTER,Non-fatal injury,GRAFTON STREET,,,Local police
3153642,11/2/2011,6:09 AM,WORCESTER,Non-fatal injury,GREENWOOD STREET,,,Local police
3201954,1/30/2012,10:33 PM,WORCESTER,Property damage only (none injured),GRAFTON STREET Rte 122 / Rte 20 W,,,Local police
3214126,1/6/2012,6:45 PM,WORCESTER,Property damage only (none injured),GRAFTON STREET,BURGHARDT STREET,,Local police
3224530,2/7/2012,5:56 PM,WORCESTER,Non-fatal injury,SOUTHWEST CUTOFF,,,Local police
3253393,3/23/2012,10:00 AM,WORCESTER,Non-fatal injury,Rte 20 / SOUTHWEST CUTOFF / GRAFTON STREET,,,Local police
3254022,4/6/2012,6:57 PM,WORCESTER,Property damage only (none injured),GREENWOOD STREET / UPLAND STREET,,,Local police
3262230,3/21/2012,8:17 PM,WORCESTER,Property damage only (none injured),UPLAND GARDENS DRIVE,,,Local police
3265903,3/8/2012,6:58 PM,WORCESTER,Non-fatal injury,GREENWOOD STREET,,,Local police
3294099,6/27/2012,7:42 AM,WORCESTER,Not Reported,GREENWOOD STREET / UPLAND STREET,,,Local police
4021088,2/12/2015,8:37 AM,WORCESTER,Not Reported,GRAFTON STREET,,,Local police
4055706,2/19/2015,5:04 PM,WORCESTER,Property damage only (none injured),Rte 122 / GRAFTON STREET / Rte 20,,,Local police
4076466,5/15/2015,10:20 AM,WORCESTER,Property damage only (none injured),Rte 122 / GRAFTON STREET / MCAVEY WAY,,,Local police
2765206,8/16/2011,2:45 PM,WORCESTER,Property damage only (none injured),GRAFTON STREET Rte 122 S / RAMP-RT 122 SB TO RT 20 WB,,,Local police
